property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,,sector 7,0.27,12000.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,5 to 10 Year Old,225.0,,225.0,,0,0,0,0,0,0,12
flat,vatika city,sector 49,1.79 Crore,12785.0,Carpet area: 1400 (130.06 sq.m.),3,3,3,9.0,,10+ Year Old,,,,1400.0,0,1,0,0,0,0,38
house,,sector 14,3.4,15111.0,Plot area 250(209.03 sq.m.),3,3,3,1.0,North-West,10+ Year Old,2250.0,,250.0,,0,0,0,0,0,0,32
house,u block dlf phase 3 road no 21,sector 24,1.6,29630.0,Plot area 60(50.17 sq.m.),7,5,3+,4.0,,10+ Year Old,540.0,,60.0,,0,0,0,0,0,0,0
flat,corona gracieux,sector 76,75 Lac,5660.0,Super Built up area 1325(123.1 sq.m.),2,2,3,13.0,,1 to 5 Year Old,,1325.0,,,0,0,0,0,0,1,0
flat,the close north,sector 50,2.5 Crore,11944.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11.0,North-East,1 to 5 Year Old,,2093.0,,,0,0,0,1,0,1,127
flat,dlf royalton tower,sector 43,6.5 Crore,20687.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,5 to 10 Year Old,,2997.0,,,0,1,0,0,0,0,7
flat,dlf the icon,sector 43,5.25 Crore,20388.0,Super Built up area 2575(239.23 sq.m.)Built Up area: 2570 sq.ft. (238.76 sq.m.)Carpet area: 2560 sq.ft. (237.83 sq.m.),4,4,3,9.0,North,10+ Year Old,,2575.0,2570.0,2560.0,0,1,0,1,1,0,135
flat,smart world gems,sector 89,1.13 Crore,8500.0,Carpet area: 1326 (123.19 sq.m.),3,3,2,4.0,,Dec 2023,,,,1326.0,1,0,0,0,0,0,115
house,,sector 105,0.7,5833.0,Built Up area: 1200 (111.48 sq.m.),3,2,2,1.0,,undefined,1200.0,,1200.0,,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.6 Crore,10139.0,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,South-West,1 to 5 Year Old,,1578.0,,,0,0,0,1,0,0,49
flat,dlf the ultima,sector 81,2.21 Crore,10365.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3+,3.0,South,1 to 5 Year Old,,2132.0,,1650.0,0,1,0,0,0,2,149
flat,shapoorji pallonji joyville gurugram,sector 102,1.9 Crore,10259.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15.0,North-East,0 to 1 Year Old,,1852.0,1700.0,1450.0,0,0,0,1,0,0,174
house,sushant lok 1 builder floors,sector 43,10.85,28841.0,Plot area 418(349.5 sq.m.),8,8,3,3.0,West,5 to 10 Year Old,3762.0,,418.0,,1,1,1,1,0,2,160
flat,shapoorji pallonji joyville gurugram,sector 102,2.04 Crore,14068.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,1.0,South,1 to 5 Year Old,,1852.0,,1450.0,0,0,0,0,0,0,72
flat,smart world orchard,sector 61,1.41 Crore,12250.0,Built Up area: 1150 (106.84 sq.m.),2,2,2,2.0,,Dec 2023,,,1150.0,,1,0,0,0,0,0,76
flat,vatika lifestyle homes,sector 83,1.04 Crore,5699.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,2,2,2.0,South-West,5 to 10 Year Old,,1755.0,1500.0,1100.0,0,0,0,0,0,0,95
flat,shree vardhman victoria,sector 70,1.6 Crore,8205.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6.0,North,1 to 5 Year Old,,1950.0,,1161.0,0,1,0,0,0,0,108
flat,breez global heights 88a,sector 88a,50 Lac,8375.0,Carpet area: 597 (55.46 sq.m.),3,2,2,2.0,,Mar 2026,,,,597.0,0,0,0,0,0,0,15
flat,signature global the millennia,sector 37d,60 Lac,9230.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596.12 sq.ft. (55.38 sq.m.),2,2,3,7.0,,0 to 1 Year Old,,650.0,,596.12,0,0,0,0,0,0,35
flat,m3m skywalk,sector 74,1.78 Crore,12500.0,Carpet area: 1424 (132.29 sq.m.),2,2,3+,12.0,,undefined,,,,1424.0,0,0,0,0,0,0,63
flat,pyramid urban homes 2,sector 86,50 Lac,9615.0,Carpet area: 520 (48.31 sq.m.),2,2,1,10.0,,1 to 5 Year Old,,,,520.0,0,0,0,0,0,0,15
flat,ss the leaf,sector 85,1.17 Crore,7001.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1660 sq.ft. (154.22 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),2,2,3,11.0,East,1 to 5 Year Old,,1671.0,1660.0,1650.0,0,0,0,0,0,0,49
house,unitech aspen greens,sector 50,6.8,31481.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,10+ Year Old,2160.0,,220.0,200.0,1,1,0,0,0,1,111
flat,puri diplomatic greens,sector 111,2.25 Crore,13235.0,Super Built up area 1700(157.94 sq.m.),3,3,2,12.0,North-East,1 to 5 Year Old,,1700.0,,,0,0,0,0,0,0,101
flat,signature the roselia,sector 95,45 Lac,7908.0,Carpet area: 569 (52.86 sq.m.),2,2,2,2.0,East,0 to 1 Year Old,,,,569.0,0,0,0,0,0,1,31
flat,vatika lifestyle homes,sector 83,1.3 Crore,4545.0,Super Built up area 2860(265.7 sq.m.),3,3,1,6.0,North-West,1 to 5 Year Old,,2860.0,,,0,0,0,0,0,1,79
flat,vatika gurgaon,sector 83,1.08 Crore,6224.0,Super Built up area 1735(161.19 sq.m.),3,3,2,11.0,North-East,1 to 5 Year Old,,1735.0,,,0,0,0,0,1,0,19
flat,breez global heights,sector 36,24 Lac,5825.0,Carpet area: 412 (38.28 sq.m.),1,1,1,8.0,,0 to 1 Year Old,,,,412.0,0,0,0,0,0,1,57
flat,emaar mgf emerald estate,sector 65,1.7 Crore,21013.0,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3,3,3,7.0,South-East,1 to 5 Year Old,,1395.0,,809.0,1,0,0,0,0,1,116
flat,experion the heartsong,sector 108,2 Crore,8554.0,Super Built up area 2338(217.21 sq.m.),3,3,3+,14.0,East,1 to 5 Year Old,,2338.0,,,0,1,0,0,0,0,95
house,international city by sobha phase 2,sector 109,12.5,26667.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,1 to 5 Year Old,4687.0,,500.0,,1,1,1,1,0,0,63
house,ganpati heights apartment,sector 13,1.25,151.0,Plot area 115(7692.86 sq.m.),10,6,2,3.0,South-East,10+ Year Old,82781.0,,115.0,,0,0,0,0,1,0,7
flat,experion the heartsong,sector 108,1.3 Crore,8344.0,Super Built up area 1758(163.32 sq.m.)Carpet area: 1558 sq.ft. (144.74 sq.m.),3,3,3+,7.0,South-West,1 to 5 Year Old,,1758.0,,1558.0,1,0,0,0,0,0,150
flat,mvn athens,sohna road,24 Lac,7056.0,Carpet area: 340.09 (31.6 sq.m.),1,1,1,12.0,West,1 to 5 Year Old,,,,340.13924000000003,0,0,0,0,0,0,66
flat,shapoorji pallonji joyville gurugram,sector 102,1.77 Crore,9195.0,Super Built up area 1827(169.73 sq.m.),3,3,3,1.0,North-East,1 to 5 Year Old,,1827.0,,,0,0,0,0,0,0,151
flat,smart world orchard,sector 61,1.65 Crore,13750.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1.0,,By 2023,,,,1200.0,1,0,0,0,0,0,16
house,dlf city plots phase 3,sector 24,5.0,34083.0,Plot area 163(136.29 sq.m.),13,13,3+,4.0,North,0 to 1 Year Old,1467.0,,163.0,,0,0,0,1,0,2,91
house,,sector 67,1.5,8642.0,Carpet area: 180 (150.5 sq.m.),5,3,2,2.0,,0 to 1 Year Old,1736.0,,,180.0,0,0,0,0,0,0,0
flat,adani oyster greens,sector 102,1.9 Crore,10058.0,Carpet area: 1889 (175.49 sq.m.),3,3,3+,9.0,North-East,1 to 5 Year Old,,,,1889.0,1,0,1,1,0,0,0
flat,raheja vedaanta,sector 108,65 Lac,4761.0,Super Built up area 1365(126.81 sq.m.),2,2,2,5.0,East,1 to 5 Year Old,,1365.0,,,0,0,0,1,0,1,174
flat,sare crescent parc,sector 92,70.85 Lac,4933.0,Carpet area: 1436 (133.41 sq.m.),3,3,2,6.0,,1 to 5 Year Old,,,,1436.0,0,0,0,0,0,0,37
flat,tulip petals,sector 89,1.1 Crore,7097.0,Built Up area: 1550 (144 sq.m.)Carpet area: 1320 sq.ft. (122.63 sq.m.),3,2,3,4.0,,undefined,,,1550.0,1320.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.66 Crore,10134.0,Super Built up area 1638(152.18 sq.m.),3,3,2,0.0,South-West,1 to 5 Year Old,,1638.0,,,0,0,0,0,0,0,157
flat,shapoorji pallonji joyville gurugram,sector 102,1.95 Crore,10529.0,Super Built up area 1852(172.06 sq.m.),3,3,3,10.0,North-East,1 to 5 Year Old,,1852.0,,,0,0,0,0,0,0,59
flat,sahara grace,sector 28,5.5 Crore,14612.0,Super Built up area 3764(349.69 sq.m.),4,5,3+,5.0,East,5 to 10 Year Old,,3764.0,,,0,1,0,0,1,1,8
flat,shree vardhman flora,sector 90,65 Lac,4814.0,Super Built up area 1350(125.42 sq.m.),2,2,3,3.0,North,1 to 5 Year Old,,1350.0,,,1,0,0,0,0,0,106
flat,viridian the plaza 106,sector 106,46 Lac,6571.0,Carpet area: 700 (65.03 sq.m.),1,1,1,18.0,,0 to 1 Year Old,,,,700.0,0,0,0,0,0,0,104
flat,project krishna colony,sector 7,36 Lac,5142.0,Built Up area: 700 (65.03 sq.m.),2,2,1,0.0,,1 to 5 Year Old,,,700.0,,0,0,0,0,0,0,0
flat,shree vardhman victoria,sector 70,1.8 Crore,9230.0,Carpet area: 1950 (181.16 sq.m.),3,5,3,0.0,,0 to 1 Year Old,,,,1950.0,0,0,0,0,0,0,72
flat,brisk lumbini terrace homes,sector 109,1.5 Crore,6616.0,Carpet area: 2267 (210.61 sq.m.),3,3,1,4.0,North,0 to 1 Year Old,,,,2267.0,0,1,0,0,0,0,37
flat,orris aster court,sector 85,68.5 Lac,5221.0,Super Built up area 1312(121.89 sq.m.)Built Up area: 1075 sq.ft. (99.87 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),2,2,2,5.0,South-West,1 to 5 Year Old,,1312.0,1075.0,975.0,0,0,0,0,0,0,37
flat,emaar mgf emerald floors premier,sector 65,2.3 Crore,13939.0,Carpet area: 1650 (153.29 sq.m.),3,4,3,3.0,South-West,1 to 5 Year Old,,,,1650.0,1,1,1,1,0,2,174
flat,global hill view,sector 11,32.5 Lac,4271.0,Built Up area: 761 (70.7 sq.m.),2,2,0,11.0,,undefined,,,761.0,,0,0,0,0,0,0,0
house,,sector 6,0.75,10518.0,Plot area 713(66.24 sq.m.),6,4,1,3.0,,5 to 10 Year Old,713.0,,713.0,,0,0,0,0,0,0,62
house,,sector 48,5.5,23504.0,Plot area 260(217.39 sq.m.),4,4,2,2.0,North,1 to 5 Year Old,2340.0,,260.0,,0,1,0,0,0,1,22
flat,silverglades hightown residences,sector 43,4.2 Crore,19767.0,Super Built up area 2150(199.74 sq.m.),3,4,2,7.0,East,Dec 2024,,2150.0,,,0,0,0,0,0,0,42
flat,sidhartha ncr one phase,sector 95,46 Lac,4646.0,Built Up area: 990 (91.97 sq.m.),2,2,0,6.0,,undefined,,,990.0,,0,0,0,0,0,0,0
house,,sector 8,0.82,9111.0,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,5 to 10 Year Old,900.0,,100.0,,0,0,0,0,0,0,12
flat,lotus homz,sector 111,60 Lac,8450.0,Carpet area: 710 (65.96 sq.m.),2,2,3,9.0,East,0 to 1 Year Old,,,,710.0,0,0,0,0,0,0,52
house,rattan vihar rajendra park,dwarka expressway,0.85,14166.0,Plot area 600(55.74 sq.m.),5,5,3+,4.0,,0 to 1 Year Old,600.0,,600.0,,0,0,0,0,0,0,0
flat,indiabulls centrum park,sector 103,2.14 Crore,7443.0,Super Built up area 2875(267.1 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),4,6,3+,7.0,East,1 to 5 Year Old,,2875.0,,2550.0,0,1,0,0,0,0,142
flat,bptp terra,sector 37d,1.72 Crore,9497.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 996.3 sq.ft. (92.56 sq.m.),3,3,3,9.0,South,1 to 5 Year Old,,1811.0,,996.3,1,0,0,0,0,1,24
flat,umang winter hills,sector 77,75 Lac,5588.0,Super Built up area 1342(124.68 sq.m.)Built Up area: 1180 sq.ft. (109.63 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,2,7.0,North-East,1 to 5 Year Old,,1342.0,1180.0,1050.0,0,0,0,0,0,1,174
flat,vatika sovereign park,sector 99,3.25 Crore,9672.0,Super Built up area 3360(312.15 sq.m.),4,4,3+,2.0,,Within 3 months,,3360.0,,,0,1,0,0,0,0,123
flat,pareena mi casa,sector 68,1.1 Crore,8835.0,Super Built up area 1245(115.66 sq.m.),2,2,3,11.0,North,0 to 1 Year Old,,1245.0,,,0,0,0,0,0,0,95
flat,radhakrishna society,sector 23,55 Lac,5000.0,Super Built up area 1100(102.19 sq.m.),2,2,1,1.0,West,5 to 10 Year Old,,1100.0,,,0,0,0,0,0,1,29
flat,orris aster court,sector 85,66.99 Lac,5825.0,Super Built up area 1375(127.74 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,2,5.0,North-West,1 to 5 Year Old,,1375.0,1250.0,1150.0,0,0,0,0,1,1,174
house,uppal southend,sector 49,3.75,25562.0,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,5 to 10 Year Old,1467.0,,163.0,,1,0,0,0,0,1,26
flat,signature global solera,sector 107,35 Lac,6398.0,Carpet area: 547 (50.82 sq.m.),2,2,2,8.0,South,1 to 5 Year Old,,,,547.0,0,0,0,0,0,0,45
flat,signature global city 92,sector 92,78 Lac,7722.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,3,2.0,,Aug 2025,,1010.0,,700.0,0,0,0,0,1,0,24
flat,mahindra aura,sector 110,1.4 Crore,9655.0,Super Built up area 1615(150.04 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,North,1 to 5 Year Old,,1615.0,1550.0,1450.0,0,0,0,0,0,1,142
flat,bajrang apartments,sector 6,38 Lac,4470.0,Carpet area: 850 (78.97 sq.m.),2,2,2,1.0,,5 to 10 Year Old,,,,850.0,0,0,0,0,0,0,0
flat,bestech altura,sector 79,1.72 Crore,8000.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3+,5.0,North-East,1 to 5 Year Old,,2150.0,,1300.0,0,1,0,0,0,1,174
house,indiabulls centrum park,sector 103,3.25,8125.0,Plot area 4000(371.61 sq.m.),4,3,3+,20.0,,Dec 2024,4000.0,,4000.0,,0,0,0,0,0,0,51
flat,uphaar homes,sector 105,45 Lac,4736.0,Carpet area: 950 (88.26 sq.m.),3,2,1,1.0,,1 to 5 Year Old,,,,950.0,0,0,0,0,0,1,44
flat,"new colony, gurgaon",sector 7,80 Lac,8100.0,Carpet area: 990 (91.97 sq.m.),3,2,1,4.0,North-East,1 to 5 Year Old,,,,990.0,0,0,0,0,0,1,69
flat,supertech hill town,sector-2 sohna road,75 Lac,6250.0,Super Built up area 1200(111.48 sq.m.),2,2,2,17.0,North,Aug 2024,,1200.0,,,1,0,0,1,1,0,83
flat,signature global solera,sector 107,50 Lac,7692.0,Super Built up area 546(50.73 sq.m.),2,2,1,11.0,,1 to 5 Year Old,,546.0,,,0,0,0,0,0,0,55
flat,ss the leaf,sector 85,1.65 Crore,6852.0,Super Built up area 2408(223.71 sq.m.),3,4,3,9.0,,0 to 1 Year Old,,2408.0,,,0,0,0,1,0,0,21
house,shree krishna homes,sector 104,0.48,50000.0,Plot area 80(7.43 sq.m.)Built Up area: 795 sq.ft. (73.86 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),2,2,1,1.0,North-East,0 to 1 Year Old,96.0,,795.0,720.0,1,0,0,1,1,0,44
flat,chd avenue,sector 71,1.12 Crore,6215.0,Super Built up area 1802(167.41 sq.m.),3,4,3,0.0,South-East,5 to 10 Year Old,,1802.0,,,0,1,0,0,0,0,65
flat,signature global rosellia,sector 95,45 Lac,8754.0,Carpet area: 514 (47.75 sq.m.),2,2,2,14.0,,0 to 1 Year Old,,,,514.0,0,0,0,0,0,0,24
flat,vatika the seven lamps,sector 82,85 Lac,6538.0,Super Built up area 1300(120.77 sq.m.),2,2,2,0.0,East,1 to 5 Year Old,,1300.0,,,0,0,0,0,0,1,49
house,,sector 2,1.15,19360.0,Plot area 66(55.18 sq.m.),3,3,2,2.0,South-East,10+ Year Old,594.0,,66.0,,0,0,0,0,0,1,32
flat,antriksh heights,sector 84,92 Lac,5041.0,Super Built up area 1825(169.55 sq.m.),3,3,3,2.0,East,1 to 5 Year Old,,1825.0,,,1,0,0,1,0,0,67
flat,vasant appartments,sector 14,1.7 Crore,7391.0,Carpet area: 2300 (213.68 sq.m.),5,5,2,2.0,North-West,10+ Year Old,,,,2300.0,1,0,1,1,0,2,71
flat,cghs vidya enclave,sector 56,1.7 Crore,10967.0,Super Built up area 1600(148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,2,3,6.0,,10+ Year Old,,1600.0,,1550.0,0,0,1,0,0,0,101
house,,sector 108,1.7,5666.0,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,1.0,North-East,undefined,3000.0,,3000.0,2600.0,0,0,0,0,0,0,0
house,nirvana country,sector 50,10.0,14285.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,5 to 10 Year Old,7000.0,,7000.0,,0,1,0,0,0,2,0
house,,sector 47,4.6,26620.0,Plot area 192(160.54 sq.m.),7,6,3+,4.0,,5 to 10 Year Old,1728.0,,192.0,,0,0,0,0,0,2,51
flat,dlf new town heights,sector 91,1.75 Crore,7402.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,9.0,South,1 to 5 Year Old,,2364.0,,,0,1,0,1,0,0,88
flat,godrej nature plus,sector 33,1.9 Crore,9849.0,Carpet area: 1929 (179.21 sq.m.),3,3,3+,14.0,,Within 6 months,,,,1929.0,0,1,0,0,0,0,96
house,,sector 36,0.66,7168.0,Built Up area: 823 (76.46 sq.m.),2,2,3,4.0,,0 to 1 Year Old,921.0,,823.0,,0,0,0,0,0,0,0
flat,alpha corp gurgaonone,sector 84,85 Lac,6692.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,3,6.0,West,1 to 5 Year Old,,1270.0,,1050.0,0,0,0,0,0,1,28
flat,m3m skycity,sector 65,3 Crore,16411.0,Super Built up area 1828(169.83 sq.m.),3,3,3,17.0,East,By 2024,,1828.0,,,0,0,0,0,0,0,99
flat,czar mahira homes 63a,sector 63a,42 Lac,7407.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,,undefined,,,,567.0,0,0,0,0,0,0,0
house,,sector 14,3.5,18088.0,Plot area 215(179.77 sq.m.)Built Up area: 214 sq.yards (178.93 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),6,4,2,2.0,West,10+ Year Old,1935.0,,214.0,180.0,0,0,0,0,1,1,27
flat,ansal harmony homes,sector 57,1.12 Crore,10666.0,Super Built up area 1050(97.55 sq.m.),2,2,1,0.0,,10+ Year Old,,1050.0,,,0,0,0,0,0,0,72
house,,sector 2,5.7,22634.0,Plot area 270(225.75 sq.m.),9,9,3+,3.0,North-East,5 to 10 Year Old,2518.0,,270.0,,0,0,0,1,0,1,0
flat,ss,sector 85,2.1 Crore,7467.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,2.0,North-West,1 to 5 Year Old,,2812.0,2600.0,2400.0,0,0,0,0,0,0,49
house,unitech espace,sector 50,7.42,34351.0,Plot area 2160(200.67 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.),4,4,3,2.0,West,10+ Year Old,2160.0,,3200.0,,0,0,0,0,0,1,88
house,,sector 24,1.45,26852.0,Plot area 60(50.17 sq.m.),3,3,1,,,10+ Year Old,540.0,,60.0,,0,0,0,0,0,0,9
flat,mapsko mount ville,sector 79,1.1 Crore,12732.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,1 to 5 Year Old,,1490.0,,863.91,1,0,0,1,0,1,135
flat,shapoorji pallonji joyville gurugram,sector 102,1.2 Crore,14563.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 824 sq.ft. (76.55 sq.m.),2,2,3,0.0,North-East,1 to 5 Year Old,,1359.0,,824.0,0,0,0,0,0,0,49
flat,ats triumph,sector 104,1.8 Crore,7860.0,Carpet area: 2290 (212.75 sq.m.),3,4,3,14.0,,0 to 1 Year Old,,,,2290.0,0,0,0,0,0,0,60
flat,ireo skyon,sector 60,2.15 Crore,23344.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2,3,2,5.0,East,1 to 5 Year Old,,1524.0,1250.0,921.0,0,1,0,0,0,1,49
flat,dlf new town heights,sector 90,1.15 Crore,5958.0,Super Built up area 1930(179.3 sq.m.),3,3,3+,9.0,North-West,1 to 5 Year Old,,1930.0,,,0,1,0,1,0,0,88
house,,sector 23,2.7,18620.0,Plot area 1450(134.71 sq.m.),5,5,2,3.0,East,10+ Year Old,1450.0,,1450.0,,0,0,0,0,0,1,17
flat,ramprastha skyz,sector 37d,1.2 Crore,6000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,2,1,9.0,East,Under Construction,,2000.0,1900.0,1850.0,0,1,0,0,1,0,53
flat,indiabulls centrum park,sector 103,1.05 Crore,5861.0,Built Up area: 1365 (126.81 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,West,1 to 5 Year Old,,,1365.0,900.0,0,0,0,0,0,1,51
flat,essel towers,sector 14,2.2 Crore,12500.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,North-West,undefined,,,,1760.0,0,0,0,0,0,0,0
flat,dlf new town heights,sector 90,1.9 Crore,5683.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,7.0,North-West,1 to 5 Year Old,,2727.0,,,0,1,0,1,0,0,88
flat,godrej nature plus,sector 33,1.62 Crore,13974.0,Built Up area: 129.42 Carpet area: 107.7 sq.m.,3,4,3+,3.0,North,0 to 1 Year Old,,,129.42,107.7,0,1,0,0,0,0,100
flat,m3m woodshire,sector 107,1.4 Crore,5929.0,Super Built up area 2361(219.34 sq.m.),3,4,3+,6.0,North-East,1 to 5 Year Old,,2361.0,,,0,1,0,0,0,0,117
flat,bptp astaire gardens,sector 70a,1.8 Crore,9350.0,Built Up area: 1925 (178.84 sq.m.),3,3,3,3.0,North-West,1 to 5 Year Old,,,1925.0,,1,0,0,0,0,0,135
house,,sector 50,10.56,32593.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,5 to 10 Year Old,3240.0,,360.0,,0,1,0,0,0,0,20
house,sector 57 huda,sector 57,3.8,26063.0,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4.0,East,1 to 5 Year Old,1458.0,,162.0,160.0,0,0,1,1,0,1,94
house,shivpuri,sector 7,2.4,8889.0,Plot area 300(250.84 sq.m.),10,5,3,2.0,North,10+ Year Old,2700.0,,300.0,,1,1,0,1,0,0,8
flat,gls arawali homes,sohna road,28 Lac,4307.0,Super Built up area 650(60.39 sq.m.),2,2,2,12.0,,0 to 1 Year Old,,650.0,,,0,0,0,0,0,0,0
flat,experion the heartsong,sector 108,98 Lac,13343.0,Built Up area: 978.23 (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,12.0,South-East,1 to 5 Year Old,,,978.2232319999999,734.43,1,1,1,1,0,1,31
flat,apex our homes,sector 37c,33 Lac,3567.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,3.0,West,1 to 5 Year Old,,925.0,850.0,800.0,0,0,0,0,0,1,158
flat,zara aavaas,sector 104,65 Lac,8519.0,Carpet area: 763 (70.89 sq.m.),3,2,2,7.0,,Within 3 months,,,,763.0,0,0,0,0,0,0,65
house,,sector 4,3.25,14444.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,South-East,10+ Year Old,2250.0,,250.0,,0,0,0,0,0,0,27
house,,sector 104,0.8,80000.0,Plot area 100(9.29 sq.m.),13,6,3+,3.0,South,5 to 10 Year Old,100.0,,100.0,,1,1,0,1,1,0,0
house,international city by sobha phase 1,sector 109,6.0,24691.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,1 to 5 Year Old,2430.0,,270.0,,1,1,1,1,0,0,160
flat,sbtl caladium,sector 109,1.35 Crore,7180.0,Super Built up area 1880(174.66 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,2,3+,12.0,West,1 to 5 Year Old,,1880.0,,1128.0,0,0,0,0,0,0,128
flat,assotech blith,sector 99,82 Lac,6007.0,Built Up area: 1365 (126.81 sq.m.),2,2,3,0.0,,undefined,,,1365.0,,0,0,0,0,0,0,51
house,bhim garh kheri,sector 3,0.75,6410.0,Plot area 130(108.7 sq.m.),4,2,2,2.0,West,10+ Year Old,1170.0,,130.0,,0,0,0,0,0,0,16
flat,signature global grand iva,sector 103,30 Lac,8290.0,Carpet area: 361.88 (33.62 sq.m.),1,2,2,5.0,,0 to 1 Year Old,,,,361.88231799999994,0,0,0,0,0,0,37
house,,sector 25,,,Plot area 502(419.74 sq.m.)Built Up area: 450 sq.yards (376.26 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),5,5,3+,2.0,West,1 to 5 Year Old,,,450.0,400.0,1,1,0,1,1,1,49
flat,aipl zen residences,sector 70a,1.82 Crore,10996.0,Super Built up area 1655(153.75 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,12.0,South,1 to 5 Year Old,,1655.0,1600.0,1550.0,0,0,0,0,0,0,108
flat,m3m the tree of life,sector 111,2.35 Crore,14551.0,Built Up area: 1615 (150.04 sq.m.),3,3,3+,5.0,,Jan 2025,,,1615.0,,0,0,0,0,0,0,0
flat,smriti apartment,sector 56,45 Lac,7500.0,Super Built up area 600(55.74 sq.m.),1,1,2,3.0,,10+ Year Old,,600.0,,,0,0,0,0,0,0,57
